BMI,age,Profile_Effort,app_usage_time_min,swipe_right_ratio,emoji_usage_rate,profile_pics_count,bio_length,Is_Top_Tier
22.30935640886966,46,250,30.0,0.59,0.38,5,50,1
26.308856185780424,41,1520,1.0,0.31,0.36,5,304,1
23.503556057507403,30,2055,135.0,0.41,0.28,5,411,1
26.101283385362464,54,1746,157.0,0.97,0.11,6,291,1
21.3,52,0,224.0,0.51,0.42,0,455,0
22.001836547291095,34,795,295.0,0.76,0.04,3,265,0
29.410758865975858,25,265,209.0,0.38,0.45,5,53,0
26.609283169049935,52,1326,165.0,0.38,0.15,3,442,1
24.803342240957512,29,156,255.0,0.56,0.13,6,26,1
25.89237425635479,54,564,122.0,0.14,0.08,2,282,0
26.891731021641583,38,1281,260.0,0.46,0.55,3,427,1
27.801717258769827,59,1272,141.0,0.5,0.34,6,212,0
26.890680599972978,33,1560,247.0,0.44,0.28,4,390,1
23.491599707815922,40,1170,242.0,0.88,0.55,6,195,1
27.71702104772491,44,1335,233.0,0.26,0.31,3,445,1
20.899653979238757,46,640,273.0,0.36,0.19,2,320,0
24.38357101330324,23,1800,222.0,0.47,0.24,5,360,0
26.896989541915868,33,840,220.0,0.41,0.34,4,210,0
20.893826537053403,23,236,254.0,0.55,0.5,1,236,0
18.711272549677968,41,2460,176.0,0.37,0.43,5,492,0
19.30253161158689,32,716,292.0,0.8,0.22,2,358,0
24.894759761939323,39,310,146.0,0.75,0.39,1,310,1
28.591682419659733,25,51,20.0,0.58,0.18,3,17,0
29.693486590038315,21,1868,276.0,0.51,0.4,4,467,1
26.920332936979786,18,0,203.0,0.35,0.54,0,404,0
28.090373961218837,29,241,190.0,0.74,0.32,1,241,1
20.394448502556607,41,0,209.0,0.34,0.39,0,484,0
21.01755734973728,18,1860,276.0,0.12,0.42,5,372,1
22.693877551020407,36,556,185.0,0.6,0.25,2,278,0
25.509533201840895,21,248,10.0,0.49,0.42,2,124,0
29.994806094182824,54,66,1.0,0.77,0.28,1,66,0
29.200000000000003,26,0,8.0,0.48,0.25,0,64,0
20.11427044004143,18,88,231.0,0.51,0.39,4,22,1
18.608956557821823,55,111,251.0,0.23,0.54,3,37,0
26.3,50,1236,271.0,0.76,0.16,4,309,0
18.20432314937809,40,0,204.0,0.53,0.47,0,160,0
22.507021083026775,43,0,190.0,0.69,0.39,0,300,0
21.289162125157723,49,1036,159.0,0.15,0.51,4,259,0
27.885714285714286,48,1314,142.0,0.64,0.12,6,219,0
22.718301828867155,58,445,173.0,0.5,0.34,1,445,0
27.799124594874538,44,522,110.0,0.49,0.62,3,174,1
29.60484787274334,52,1085,41.0,0.28,0.34,5,217,1
27.510786449656116,41,46,249.0,0.69,0.24,2,23,1
18.017206432142697,57,1146,167.0,0.34,0.19,3,382,0
22.685185185185183,26,1413,21.0,0.29,0.58,3,471,1
26.6,31,2910,10.0,0.6,0.46,6,485,1
26.986001011975038,59,762,40.0,0.46,0.13,2,381,0
25.406080799666807,53,131,75.0,0.97,0.12,1,131,0
20.291340937246357,57,1316,296.0,0.45,0.52,4,329,1
21.51111111111111,50,0,28.0,0.31,0.47,0,158,0
27.085485537190085,39,1952,196.0,0.54,0.24,4,488,1
26.59655540313976,53,1050,230.0,0.35,0.12,6,175,1
23.601108033240997,23,396,186.0,0.68,0.14,2,198,0
19.814814814814813,47,2016,145.0,0.41,0.61,6,336,1
22.90858725761773,31,987,43.0,0.22,0.45,3,329,0
23.0875941339675,36,1488,109.0,0.45,0.21,6,248,1
19.58852160410881,34,305,172.0,0.51,0.13,1,305,0
22.2117202268431,24,770,121.0,0.48,0.14,2,385,0
21.48935632938562,34,796,225.0,0.52,0.29,2,398,0
27.196829144881093,24,0,190.0,0.35,0.33,0,364,0
25.69345318467651,34,0,230.0,0.55,0.22,0,212,0
18.517804097064154,31,0,171.0,0.55,0.17,0,146,0
27.893513442392877,51,882,270.0,0.7,0.12,6,147,0
27.881626953740824,26,492,274.0,0.65,0.02,4,123,0
26.285714285714285,36,1112,268.0,0.57,0.15,4,278,1
23.902853540199008,29,0,8.0,0.82,0.36,0,176,1
20.99723143554179,28,1068,89.0,0.58,0.47,3,356,1
27.511050144794996,37,1668,158.0,0.57,0.49,6,278,1
26.305121390928335,31,1374,223.0,0.13,0.38,3,458,0
29.19118204085755,37,1684,217.0,0.5,0.69,4,421,0
22.71498107084911,59,537,218.0,0.2,0.38,3,179,1
18.595041322314053,44,2298,207.0,0.75,0.27,6,383,1
23.408438728876607,23,64,185.0,0.67,0.08,4,16,0
29.08840115217656,53,710,187.0,0.58,0.48,5,142,0
22.011458019242895,36,2345,109.0,0.45,0.15,5,469,0
20.40720585475699,31,1108,177.0,0.39,0.27,4,277,1
25.401662049861496,58,478,184.0,0.35,0.09,2,239,0
22.789955000725794,38,185,37.0,0.67,0.37,5,37,0
19.59800933605956,53,155,28.0,0.99,0.16,1,155,0
21.196816651362106,59,1092,64.0,0.62,0.13,4,273,0
20.91206853111615,18,1770,41.0,0.82,0.2,6,295,1
25.08960573476702,24,2100,247.0,0.66,0.19,6,350,1
28.79912295496711,26,882,174.0,0.47,0.15,2,441,0
22.305470559638533,35,378,238.0,0.04,0.17,3,126,0
29.883655470069435,55,255,160.0,0.45,0.08,1,255,0
21.720773128166638,27,0,298.0,0.24,0.18,0,144,0
22.50504835795515,54,78,206.0,0.45,0.12,3,26,0
25.09271943599853,37,240,143.0,0.53,0.27,4,60,1
24.195918367346938,30,850,23.0,0.39,0.08,5,170,0
19.208419421487605,22,1696,153.0,0.28,0.13,4,424,0
27.69928613920286,55,2230,298.0,0.75,0.03,5,446,0
25.79080085543745,25,1845,245.0,0.45,0.12,5,369,1
22.40668402777778,59,768,211.0,0.69,0.54,3,256,0
27.291092745638203,25,235,269.0,0.35,0.16,1,235,0
24.515302034930297,25,788,152.0,0.45,0.19,2,394,1
22.686980609418285,39,1257,278.0,0.55,0.09,3,419,1
25.38482311639211,43,1424,103.0,0.57,0.17,4,356,1
28.69165023011177,27,1205,51.0,0.34,0.06,5,241,0
27.795712809917354,21,150,147.0,0.08,0.41,5,30,0
20.6,44,2844,95.0,0.49,0.21,6,474,1
29.48245473481813,41,956,252.0,0.23,0.54,4,239,0
24.278185667312282,50,588,151.0,0.52,0.4,6,98,0
29.402339368690914,58,392,165.0,0.71,0.21,2,196,0
22.50504835795515,22,207,60.0,0.81,0.09,1,207,0
22.80078895463511,55,1550,244.0,0.6,0.29,5,310,1
26.294597528097757,40,0,185.0,0.62,0.24,0,31,0
29.91481882098432,25,138,105.0,0.31,0.62,3,46,1
26.897642906405938,20,390,157.0,0.54,0.17,3,130,0
25.37777777777778,33,276,241.0,0.73,0.15,3,92,0
23.795013850415515,24,1068,276.0,0.43,0.09,6,178,1
21.399469957675723,36,868,237.0,0.63,0.64,4,217,1
20.78251079001689,55,1568,16.0,0.73,0.2,4,392,1
26.501095690284878,34,444,205.0,0.58,0.24,4,111,0
23.795359904818564,50,338,164.0,0.71,0.22,1,338,1
19.502697181525104,19,964,284.0,0.54,0.37,2,482,0
27.787755102040816,22,690,275.0,0.59,0.23,6,115,0
28.989956580851715,47,200,130.0,0.64,0.14,5,40,0
27.705576559546312,51,1800,37.0,0.22,0.32,6,300,1
22.02140309155767,41,1404,60.0,0.4,0.21,3,468,1
25.082141700217505,48,524,183.0,0.37,0.39,2,262,0
24.79338842975207,37,1912,74.0,0.68,0.37,4,478,1
28.595213319458896,23,860,255.0,0.74,0.07,5,172,0
26.484374999999993,50,1312,279.0,0.43,0.14,4,328,0
21.30394857667585,26,932,77.0,0.44,0.23,4,233,1
19.79389858177737,57,548,8.0,0.35,0.08,2,274,0
24.497922437673132,26,272,269.0,0.47,0.15,2,136,0
18.59103674696412,45,579,16.0,0.63,0.29,3,193,0
18.202289360105087,47,0,48.0,0.4,0.23,0,117,0
25.600772853520105,58,966,16.0,0.74,0.32,6,161,0
24.0,50,2268,276.0,0.57,0.19,6,378,1
26.211050951988238,52,0,203.0,0.2,0.14,0,324,0
22.313278429145196,44,0,126.0,0.61,0.45,0,137,0
22.08816112866673,48,104,227.0,0.34,0.52,2,52,1
29.305110473941642,36,422,166.0,0.64,0.12,2,211,0
28.414086723124626,59,0,137.0,0.74,0.41,0,85,0
23.209876543209877,34,155,100.0,0.17,0.28,1,155,0
22.21583836062434,21,510,153.0,0.72,0.26,5,102,0
22.40817898532965,18,1206,192.0,0.7,0.51,6,201,1
23.420025437480813,25,850,107.0,0.53,0.14,2,425,0
23.598931085099178,19,894,37.0,0.45,0.25,3,298,0
19.19415748572142,43,1700,55.0,0.51,0.55,5,340,1
23.193359375,44,1140,113.0,0.55,0.21,4,285,0
26.795161428693984,21,1413,247.0,0.56,0.25,3,471,0
23.808797045267237,48,1780,243.0,0.43,0.2,5,356,0
23.916239377532364,24,356,84.0,0.2,0.38,4,89,0
25.306122448979593,53,1570,221.0,0.47,0.05,5,314,1
18.67937257547647,29,2676,32.0,0.88,0.11,6,446,1
26.71475088407269,46,232,198.0,0.72,0.39,4,58,1
29.31070387338609,51,0,60.0,0.48,0.05,0,93,1
18.503847894975106,23,2380,275.0,0.68,0.37,5,476,1
29.61153319552203,27,417,4.0,0.79,0.34,1,417,1
25.313090737240074,37,32,289.0,0.64,0.31,2,16,0
27.896303201979276,41,1668,293.0,0.77,0.4,6,278,1
18.80624426078972,48,264,134.0,0.57,0.16,6,44,0
22.186389560751287,30,0,105.0,0.21,0.05,0,291,0
29.600269860010123,33,0,263.0,0.44,0.3,0,69,0
23.113021358712338,39,2076,164.0,0.02,0.56,6,346,1
22.809903047091414,50,710,47.0,0.5,0.18,5,142,0
27.01935169783764,54,495,183.0,0.27,0.2,1,495,0
27.89339808070297,42,2005,24.0,0.32,0.38,5,401,1
20.792241946088097,33,94,154.0,0.44,0.35,2,47,0
23.99017586947941,30,0,119.0,0.56,0.15,0,360,0
23.206484684730185,50,366,4.0,0.37,0.26,6,61,0
28.012486992715917,50,2496,153.0,0.52,0.23,6,416,1
19.887127116366564,28,470,109.0,0.36,0.19,1,470,1
29.30228531855956,37,426,179.0,0.29,0.19,6,71,0
19.494457210676497,52,453,260.0,0.93,0.52,3,151,0
27.598056323659694,40,2574,162.0,0.61,0.42,6,429,1
18.881021796473693,44,0,7.0,0.4,0.69,0,472,0
25.987654320987655,58,84,275.0,0.9,0.43,2,42,0
25.99418681463866,26,0,122.0,0.63,0.06,0,473,0
29.690992767915848,36,254,70.0,0.25,0.15,1,254,0
28.898831263696128,47,128,171.0,0.39,0.15,4,32,0
24.6,32,312,188.0,0.44,0.39,6,52,0
18.59103674696412,43,91,186.0,0.73,0.05,1,91,0
23.91111111111111,32,2305,190.0,0.48,0.06,5,461,1
29.11141594269166,37,204,283.0,0.49,0.62,2,102,0
26.089795918367347,56,36,125.0,0.55,0.09,3,12,0
29.314092500905684,25,0,121.0,0.43,0.16,0,497,0
27.41064070083331,55,326,297.0,0.74,0.28,1,326,1
21.798204158790167,49,835,201.0,0.45,0.23,5,167,0
18.90747992563585,56,183,230.0,0.36,0.38,3,61,0
20.62222222222222,47,80,155.0,0.68,0.6,4,20,0
26.99734073303272,31,1311,133.0,1.0,0.56,3,437,0
22.985397512168742,35,1230,113.0,0.38,0.48,6,205,1
29.599999999999998,55,0,65.0,0.32,0.25,0,21,0
19.30253161158689,52,140,181.0,0.54,0.4,1,140,1
18.78743608473338,48,210,31.0,0.59,0.5,3,70,0
23.809523809523814,18,396,176.0,0.56,0.45,2,198,0
21.011757874872988,49,498,183.0,0.61,0.22,1,498,0
22.810437399541744,27,934,162.0,0.25,0.31,2,467,1
24.706884660635318,44,0,251.0,0.52,0.2,0,119,0
27.08415906989034,29,0,90.0,0.21,0.08,0,75,0
18.27942061178213,19,374,154.0,0.24,0.1,1,374,0
18.40379008746356,50,0,150.0,0.7,0.2,5,0,0
25.41757443718228,32,195,254.0,0.5,0.18,5,39,0
23.008440282113533,47,0,107.0,0.78,0.38,0,179,0
22.891068052930056,47,153,193.0,0.58,0.18,3,51,0
29.29470400516333,58,174,133.0,0.3,0.27,2,87,0
22.985537190082646,42,240,84.0,0.58,0.09,3,80,0
18.10560339385369,49,0,152.0,0.61,0.07,0,201,0
26.403681788297177,52,0,245.0,0.54,0.31,0,105,1
26.695419393218327,43,792,135.0,0.77,0.32,4,198,0
28.512110726643602,43,385,137.0,0.44,0.5,1,385,0
25.79438003274416,46,1404,267.0,0.85,0.17,4,351,1
22.80379553106826,58,61,292.0,0.66,0.24,1,61,0
23.301094832264035,50,1824,103.0,0.56,0.72,6,304,1
28.31263696128561,19,0,234.0,0.43,0.33,0,212,0
28.20635842529229,21,1240,210.0,0.47,0.06,5,248,1
29.41308950047295,51,1413,121.0,0.56,0.35,3,471,0
21.591695501730104,45,1130,116.0,0.83,0.3,5,226,0
19.210330534594537,18,0,264.0,0.56,0.22,0,263,0
22.694018931589476,46,0,127.0,0.46,0.16,0,470,0
25.712014473287464,44,270,190.0,0.35,0.25,3,90,0
18.402067821457504,39,1596,25.0,0.19,0.18,4,399,1
24.801302307765965,48,331,4.0,0.64,0.63,1,331,0
20.312499999999996,28,462,235.0,0.49,0.1,3,154,0
19.409234947940245,30,0,144.0,0.82,0.15,0,246,0
18.997768094377726,48,2460,123.0,0.62,0.18,6,410,1
27.289882421251274,47,0,207.0,0.66,0.55,0,298,0
20.909687126268274,57,2240,153.0,0.53,0.35,5,448,1
24.49539486576524,48,181,171.0,0.32,0.04,1,181,0
20.214030915576696,22,1932,27.0,0.58,0.3,4,483,1
23.401922752572105,26,418,77.0,0.41,0.41,2,209,0
22.5161264148647,43,214,29.0,0.56,0.21,2,107,0
26.510864644635586,27,0,219.0,0.29,0.35,0,19,1
18.39741049015722,26,318,127.0,0.59,0.64,2,159,0
26.996691871455578,26,444,266.0,0.0,0.34,2,222,1
24.09638554216868,28,0,67.0,0.46,0.34,0,301,0
23.48979674631831,47,2140,24.0,0.0,0.45,5,428,1
28.799999999999997,23,1610,78.0,0.62,0.11,5,322,0
22.802454483472637,51,324,60.0,0.36,0.24,6,54,0
26.889394699278576,44,352,280.0,0.43,0.21,1,352,1
25.21819218455331,19,0,38.0,0.56,0.16,0,463,1
19.082389250630435,59,1134,184.0,0.5,0.05,3,378,0
22.09306396834845,46,186,47.0,0.29,0.38,2,93,0
23.5,35,150,57.0,0.46,0.48,5,30,1
26.992187499999993,53,171,66.0,0.49,0.29,3,57,0
18.394349026497903,27,2235,289.0,0.58,0.13,5,447,1
19.91042192028304,41,1710,197.0,0.26,0.27,6,285,1
22.58678873333556,37,50,164.0,0.84,0.38,2,25,0
28.109393579072535,24,0,255.0,0.73,0.09,0,254,1
25.509533201840895,34,335,155.0,0.4,0.18,1,335,1
26.312466856897554,46,0,186.0,0.56,0.38,0,49,0
28.606408074293046,51,213,54.0,0.35,0.16,3,71,0
23.21901823503817,52,865,234.0,0.55,0.33,5,173,0
29.909412744689718,24,1912,271.0,0.31,0.26,4,478,1
20.411957168352174,42,642,164.0,0.56,0.11,3,214,0
29.7140831758034,34,1400,262.0,0.35,0.12,5,280,0
26.48630893726298,45,1630,91.0,0.63,0.53,5,326,0
27.40765727778715,59,0,146.0,0.69,0.31,0,267,0
24.800554977454038,38,385,74.0,0.33,0.44,1,385,0
20.803964287239953,38,0,147.0,0.11,0.34,0,474,0
28.977777777777778,32,1655,115.0,0.54,0.18,5,331,0
19.788495433424128,51,0,88.0,0.38,0.49,0,193,1
24.506489994591675,27,610,79.0,0.68,0.36,2,305,0
22.88399134667388,39,212,266.0,0.24,0.26,1,212,0
25.51111111111111,56,972,111.0,0.51,0.07,4,243,0
21.29855507599925,32,552,195.0,0.84,0.04,2,276,0
24.287400910777535,28,497,263.0,0.57,0.42,1,497,0
27.510786449656116,35,2245,105.0,0.26,0.5,5,449,1
23.598915289256198,52,570,27.0,0.76,0.11,2,285,0
24.999300131575264,26,12,199.0,0.58,0.29,4,3,0
19.097222222222225,21,176,148.0,0.21,0.09,4,44,0
26.39033414267545,37,365,200.0,0.43,0.36,5,73,0
23.98928083691927,45,0,275.0,0.16,0.68,0,156,0
19.901712401941335,34,198,113.0,0.75,0.38,2,99,0
27.300949598246895,57,1485,128.0,0.53,0.08,5,297,0
25.01095690284879,59,780,230.0,0.74,0.13,5,156,0
18.107741059302853,23,1115,113.0,0.72,0.17,5,223,0
20.498582230623818,56,0,89.0,0.8,0.28,0,430,0
27.488546438983757,53,1812,297.0,0.6,0.14,6,302,1
21.490184414039266,48,1044,148.0,0.87,0.19,4,261,0
21.985977747294616,20,1940,228.0,0.74,0.05,4,485,1
28.40909090909091,42,525,189.0,0.28,0.14,5,105,1
23.281249999999996,29,1112,140.0,0.71,0.2,4,278,1
25.003628973726233,34,1476,180.0,0.39,0.12,6,246,0
22.98168585103437,51,616,76.0,0.0,0.3,2,308,1
25.390218522372525,29,33,82.0,0.59,0.39,3,11,0
22.214601432708424,55,264,28.0,0.3,0.15,1,264,0
20.303697560696612,37,406,112.0,0.57,0.13,1,406,0
22.70992948933183,30,201,35.0,0.39,0.59,3,67,1
20.408163265306122,27,1540,19.0,0.68,0.29,4,385,1
28.503748438150772,37,351,22.0,0.48,0.13,3,117,0
19.002770083102494,37,836,145.0,0.25,0.04,4,209,0
29.21195652173913,23,0,161.0,0.34,0.28,0,79,0
23.09154146796228,46,1710,104.0,0.34,0.2,6,285,1
18.6888657648283,33,585,70.0,0.44,0.38,5,117,0
18.68735659944451,55,10,26.0,0.52,0.1,5,2,0
25.09259259259259,42,942,19.0,0.41,0.49,3,314,1
18.710204081632654,27,0,265.0,0.91,0.47,0,401,0
20.095793419408583,50,1224,80.0,0.37,0.41,6,204,0
18.404907975460123,32,986,286.0,0.31,0.08,2,493,0
28.70259635044944,35,600,54.0,0.43,0.26,4,150,0
26.718474603428934,59,1175,173.0,0.48,0.13,5,235,0
24.516070124178235,23,528,161.0,0.76,0.17,2,264,0
21.015624999999996,18,457,243.0,0.21,0.21,1,457,1
20.114515169541942,37,728,103.0,0.65,0.2,4,182,0
28.510966856358486,38,1776,161.0,0.33,0.44,4,444,0
27.698863636363637,30,708,244.0,0.39,0.27,4,177,0
18.388318009734995,37,370,194.0,0.58,0.15,2,185,0
20.59785841760857,27,1925,217.0,0.6,0.38,5,385,1
21.400226757369616,45,1170,120.0,0.59,0.12,6,195,1
25.79639889196676,35,1494,273.0,0.86,0.28,6,249,1
28.710937499999993,42,1143,243.0,0.43,0.28,3,381,0
22.499999999999996,53,1660,101.0,0.44,0.12,5,332,1
28.112802070084644,30,444,237.0,0.38,0.13,1,444,0
17.98844088779454,49,680,162.0,0.39,0.12,5,136,0
25.11296076099881,48,600,94.0,0.44,0.05,5,120,0
26.285714285714285,40,804,27.0,0.51,0.42,3,268,0
27.200000000000003,56,67,145.0,0.74,0.17,1,67,0
28.888159389914396,53,1380,280.0,0.78,0.54,5,276,1
18.884637188208618,18,0,276.0,0.36,0.59,0,226,1
25.680554992088926,24,0,146.0,0.64,0.32,0,352,1
28.503748438150772,21,381,210.0,0.45,0.12,3,127,1
27.70691609977325,23,1360,139.0,0.53,0.49,5,272,1
22.304687499999996,35,0,251.0,0.48,0.2,0,77,1
19.204389574759944,37,333,46.0,0.54,0.42,3,111,0
28.71479170180469,33,1200,74.0,0.72,0.41,6,200,0
25.306122448979593,39,377,197.0,0.32,0.28,1,377,1
21.293641423511556,46,1064,21.0,0.44,0.05,4,266,1
18.88162672476398,39,406,222.0,0.59,0.41,1,406,0
18.689214690085645,35,80,190.0,0.47,0.32,1,80,1
25.908785253747872,22,570,64.0,0.35,0.37,2,285,0
27.317176870748302,24,1120,128.0,0.55,0.25,5,224,0
26.597294484911547,50,316,283.0,0.63,0.7,4,79,0
21.6,34,794,9.0,0.13,0.37,2,397,0
22.38455294972019,35,820,144.0,0.74,0.51,5,164,0
20.685150239512268,41,1312,98.0,0.18,0.14,4,328,1
23.495906016375933,31,1425,6.0,0.62,0.16,3,475,1
20.601057057983873,41,930,20.0,0.38,0.28,6,155,1
30.0,48,285,127.0,0.09,0.06,1,285,0
29.78694299100578,23,672,281.0,0.44,0.13,2,336,0
28.422143146705103,26,492,220.0,1.0,0.19,4,123,0
23.61275088547816,22,0,17.0,0.44,0.15,0,265,0
19.090427009418953,58,0,292.0,0.72,0.3,0,235,0
24.895418834812773,31,0,291.0,0.55,0.26,0,370,0
19.19965813009371,56,1026,195.0,0.39,0.18,6,171,0
21.2,32,304,21.0,0.82,0.5,4,76,0
19.901712401941335,55,221,294.0,0.06,0.33,1,221,0
22.408786769347305,37,1188,43.0,0.46,0.11,3,396,1
23.011245314452314,52,0,268.0,0.73,0.25,0,136,0
29.89043097151205,56,60,164.0,0.69,0.3,5,12,1
19.59571938168847,43,2180,191.0,0.35,0.28,5,436,1
22.211342729779176,18,214,230.0,0.39,0.53,2,107,0
27.81947832613999,32,1345,192.0,0.65,0.37,5,269,0
24.602423613442813,46,690,4.0,0.26,0.43,5,138,0
18.793942671714444,19,1830,50.0,0.79,0.28,6,305,1
24.709141274238227,27,1143,156.0,0.66,0.03,3,381,0
23.791913214990135,43,77,198.0,0.66,0.14,1,77,1
27.612456747404845,31,672,78.0,0.44,0.38,4,168,0
28.21402483564646,48,444,268.0,0.47,0.2,6,74,1
22.792821663194996,59,465,163.0,0.69,0.32,3,155,0
23.19526627218935,40,472,136.0,0.41,0.2,4,118,0
25.015608740894898,46,188,240.0,0.41,0.36,2,94,0
28.602789256198346,40,515,211.0,0.43,0.13,5,103,0
23.70584142853462,48,1164,21.0,0.64,0.38,6,194,1
19.19011758488572,18,100,265.0,0.2,0.1,5,20,0
22.80078895463511,20,0,216.0,0.63,0.47,0,353,0
19.402848794740688,22,232,165.0,0.33,0.28,1,232,0
27.20220741357768,39,972,46.0,0.1,0.4,3,324,0
27.894736842105264,34,83,289.0,0.28,0.15,1,83,0
23.915816326530617,25,1,60.0,0.89,0.32,1,1,0
25.985663082437274,44,696,111.0,0.2,0.28,3,232,0
26.501095690284878,37,28,106.0,0.59,0.19,1,28,1
19.082389250630435,33,1352,82.0,0.48,0.07,4,338,1
29.304968174633686,28,1257,165.0,0.49,0.12,3,419,1
26.382638989693717,51,313,268.0,0.55,0.01,1,313,0
27.109725757099138,56,724,132.0,0.54,0.48,4,181,0
24.297179948247884,43,0,148.0,0.73,0.19,0,12,0
18.113240647340028,35,353,108.0,0.0,0.58,1,353,0
23.784950272096083,46,0,291.0,0.42,0.2,0,426,1
22.490628904623076,51,1644,79.0,0.67,0.14,6,274,0
18.991940811203595,21,818,106.0,0.6,0.3,2,409,0
26.707450693937183,48,0,199.0,0.65,0.31,0,442,0
30.01427414065815,35,616,231.0,0.34,0.33,4,154,1
20.20365937766238,56,1125,97.0,0.47,0.29,3,375,0
22.192009122406912,37,954,267.0,0.51,0.36,2,477,0
29.796186719263645,46,654,11.0,0.34,0.23,2,327,1
25.01095690284879,40,0,76.0,0.3,0.11,0,7,0
28.18836035713219,39,0,293.0,0.46,0.08,0,159,0
22.0078752174842,44,360,44.0,0.17,0.84,1,360,1
29.089466133512406,43,268,273.0,0.54,0.16,4,67,1
26.611328125,19,358,132.0,0.67,0.25,1,358,0
22.705948583223872,48,618,87.0,1.0,0.11,2,309,0
22.988505747126435,28,317,205.0,0.57,0.19,1,317,0
21.083581340313383,40,339,278.0,0.72,0.17,1,339,0
18.20432314937809,22,105,227.0,0.33,0.61,3,35,0
24.882812499999996,27,0,297.0,0.34,0.5,6,0,0
28.503963568898634,30,2802,162.0,0.45,0.35,6,467,1
28.196402527953325,54,0,189.0,0.38,0.66,0,0,0
21.513858510523864,29,837,195.0,0.6,0.14,3,279,1
23.11328312770389,39,0,64.0,0.54,0.32,0,331,0
20.112345041322314,58,780,217.0,0.58,0.41,3,260,0
24.08879240922937,28,420,121.0,0.04,0.16,2,210,0
28.579254930606282,40,1345,40.0,0.75,0.17,5,269,0
29.792878277726764,31,0,296.0,0.27,0.2,0,462,1
22.98168585103437,24,2360,148.0,0.35,0.28,5,472,1
21.11483307614137,45,0,149.0,0.73,0.59,0,146,1
24.60451636275812,31,1512,57.0,0.32,0.08,4,378,0
29.296874999999993,56,1912,175.0,0.3,0.12,4,478,1
